word,frequency
prabowo,6503
presiden,5900
indonesia,4512
negara,3827
pbb,2283
israel,2264
pidato,2252
dunia,2211
rakyat,1805
palestina,1757
tok,1709
sehat,1447
semoga,1430
bangga,1430
allah,1246
president,1047
mantap,996
pemimpin,956
orang,937
bangsa,866
bpk,841
subianto,837
jokowi,721
presidenku,671
dgn,642
beliau,632
wok,629
papua,625
perdamaian,622
negeri,614
merdeka,594
bahasa,545
tdk,512
hebat,497
berani,489
omon,481
hidup,470
keren,469
amerika,464
palestine,460
sidang,450
inggris,437
aamiin,425
alhamdulillah,418
trump,418
dlm,417
kemerdekaan,408
internasional,404
hati,400
utk,397
mengakui,378
bravo,377
perang,372
pidatonya,359
manusia,355
salah,353
swt,350
klo,342
karna,340
hak,339
people,337
forum,334
bicara,331
kasih,330
umur,328
koruptor,325
hamas,317
bikin,313
gaza,313
banget,308
damai,305
maju,303
anak,303
teks,299
best,298
detok,295
muslim,293
tanah,291
negri,285
veto,282
amin,276
mendukung,275
mulyono,274
salam,272
korupsi,271
aka,270
beda,267
speech,262
bagus,257
sdh,255
tuhan,254
ngomong,251
hadir,250
tau,250
terbaik,248
nkri,248
jalan,247
gibran,246
takut,242
mati,240
